curva;ponto;hora_brasilia;velocidade_kmh;latitude;longitude;subtrecho;fracao_0a1
CURVA 2;1;16:25:59.111;89,0;-15.7788531;-47.8956457;entrada;0,0000
CURVA 2;2;16:25:59.314;87,1;-15.7789055;-47.8956408;entrada;0,0307
CURVA 2;3;16:25:59.512;85,2;-15.7789483;-47.8956371;entrada;0,0557
CURVA 2;4;16:25:59.714;83,8;-15.7789903;-47.8956337;entrada;0,0802
CURVA 2;5;16:25:59.911;82,5;-15.7790317;-47.8956308;entrada;0,1044
CURVA 2;6;16:26:00.115;82,2;-15.7790726;-47.8956288;entrada;0,1282
CURVA 2;7;16:26:00.316;81,0;-15.7791131;-47.8956277;entrada;0,1518
CURVA 2;8;16:26:00.511;80,1;-15.7791532;-47.8956284;entrada;0,1752
CURVA 2;9;16:26:00.714;79,7;-15.7791931;-47.8956306;entrada;0,1985
CURVA 2;10;16:26:00.910;80,7;-15.7792328;-47.8956352;entrada;0,2218
CURVA 2;11;16:26:01.121;80,8;-15.7792646;-47.8956405;entrada;0,2405
CURVA 2;12;16:26:01.315;81,2;-15.7793125;-47.8956504;entrada;0,2690
CURVA 2;13;16:26:01.510;82,1;-15.7793521;-47.8956614;entrada;0,2929
CURVA 2;14;16:26:01.711;82,5;-15.7793914;-47.8956747;entrada;0,3169
CURVA 2;15;16:26:01.915;82,9;-15.77943;-47.8956902;entrada;0,3410
CURVA 2;16;16:26:02.115;82,4;-15.7794677;-47.8957084;entrada;0,3653
CURVA 2;17;16:26:02.311;81,2;-15.7795035;-47.8957286;entrada;0,3890
CURVA 2;18;16:26:02.514;80,6;-15.7795376;-47.8957517;entrada;0,4127
CURVA 2;19;16:26:02.714;79,8;-15.7795693;-47.8957773;entrada;0,4361
CURVA 2;20;16:26:02.911;79,5;-15.7795982;-47.8958059;entrada;0,4593
CURVA 2;21;16:26:03.121;79,0;-15.7796245;-47.8958369;entrada;0,4825
CURVA 2;22;16:26:03.319;80,2;-15.7796489;-47.8958702;entrada;0,5060
CURVA 2;23;16:26:03.519;78,0;-15.7796703;-47.8959044;entrada;0,5288
CURVA 2;24;16:26:03.715;78,3;-15.7796887;-47.8959405;entrada;0,5518
CURVA 2;25;16:26:03.910;77,9;-15.7797039;-47.8959778;apice;0,5745
CURVA 2;26;16:26:04.111;79,1;-15.7797164;-47.8960167;saida;0,5975
CURVA 2;27;16:26:04.316;79,9;-15.7797267;-47.8960564;saida;0,6205
CURVA 2;28;16:26:04.516;80,1;-15.7797345;-47.8960972;saida;0,6438
CURVA 2;29;16:26:04.711;80,6;-15.7797402;-47.8961387;saida;0,6673
CURVA 2;30;16:26:04.920;81,5;-15.7797441;-47.8961808;saida;0,6910
CURVA 2;31;16:26:05.114;81,3;-15.7797463;-47.8962229;saida;0,7147
CURVA 2;32;16:26:05.316;81,2;-15.7797462;-47.8962651;saida;0,7383
CURVA 2;33;16:26:05.515;80,8;-15.7797444;-47.8963071;saida;0,7619
CURVA 2;34;16:26:05.711;81,6;-15.7797415;-47.8963493;saida;0,7856
CURVA 2;35;16:26:05.917;82,0;-15.7797381;-47.8963916;saida;0,8094
CURVA 2;36;16:26:06.117;82,2;-15.7797342;-47.8964339;saida;0,8332
CURVA 2;37;16:26:06.316;82,5;-15.7797297;-47.8964764;saida;0,8572
CURVA 2;38;16:26:06.519;82,6;-15.7797247;-47.8965188;saida;0,8812
CURVA 2;39;16:26:06.715;82,2;-15.779719;-47.8965609;saida;0,9050
CURVA 2;40;16:26:06.921;82,4;-15.7797122;-47.8966031;saida;0,9290
CURVA 2;41;16:26:07.112;81,5;-15.7797042;-47.8966447;saida;0,9528
CURVA 2;42;16:26:07.317;81,3;-15.7796946;-47.8966857;saida;0,9764
CURVA 2;43;16:26:07.514;81,0;-15.7796837;-47.8967262;saida;1,0000
CURVA DA JUNCAO;1;16:26:26.714;91,8;-15.7789685;-47.9012271;entrada;0,0000
CURVA DA JUNCAO;2;16:26:26.911;90,5;-15.7789736;-47.9012738;entrada;0,0167
CURVA DA JUNCAO;3;16:26:27.118;90,0;-15.7789777;-47.9013204;entrada;0,0333
CURVA DA JUNCAO;4;16:26:27.319;89,3;-15.7789807;-47.9013666;entrada;0,0497
CURVA DA JUNCAO;5;16:26:27.512;87,9;-15.7789825;-47.9014122;entrada;0,0659
CURVA DA JUNCAO;6;16:26:27.715;87,4;-15.7789822;-47.9014577;entrada;0,0820
CURVA DA JUNCAO;7;16:26:27.911;86,3;-15.7789802;-47.9015026;entrada;0,0980
CURVA DA JUNCAO;8;16:26:28.110;85,4;-15.7789759;-47.9015468;entrada;0,1137
CURVA DA JUNCAO;9;16:26:28.311;85,0;-15.7789691;-47.9015902;entrada;0,1293
CURVA DA JUNCAO;10;16:26:28.512;84,6;-15.77896;-47.9016329;entrada;0,1449
CURVA DA JUNCAO;11;16:26:28.712;84,5;-15.7789482;-47.9016744;entrada;0,1602
CURVA DA JUNCAO;12;16:26:28.917;84,1;-15.7789344;-47.9017153;entrada;0,1756
CURVA DA JUNCAO;13;16:26:29.113;84,4;-15.7789185;-47.9017556;entrada;0,1910
CURVA DA JUNCAO;14;16:26:29.327;84,6;-15.7789009;-47.9017952;entrada;0,2065
CURVA DA JUNCAO;15;16:26:29.512;84,8;-15.7788816;-47.9018342;entrada;0,2221
CURVA DA JUNCAO;16;16:26:29.717;85,0;-15.7788605;-47.9018722;apice;0,2376
CURVA DA JUNCAO;17;16:26:29.916;84,7;-15.7788375;-47.9019089;apice;0,2532
CURVA DA JUNCAO;18;16:26:30.119;84,3;-15.7788124;-47.9019437;apice;0,2686
CURVA DA JUNCAO;19;16:26:30.310;83,8;-15.7787851;-47.9019769;apice;0,2841
CURVA DA JUNCAO;20;16:26:30.519;83,5;-15.7787558;-47.9020079;apice;0,2995
CURVA DA JUNCAO;21;16:26:30.712;84,9;-15.7787245;-47.902037;apice;0,3150
CURVA DA JUNCAO;22;16:26:30.911;83,5;-15.7786917;-47.9020635;apice;0,3303
CURVA DA JUNCAO;23;16:26:31.119;83,4;-15.7786572;-47.9020881;apice;0,3457
CURVA DA JUNCAO;24;16:26:31.336;82,8;-15.7786215;-47.9021101;apice;0,3610
CURVA DA JUNCAO;25;16:26:31.519;82,5;-15.7785846;-47.9021295;apice;0,3763
CURVA DA JUNCAO;26;16:26:31.710;82,5;-15.7785467;-47.9021463;saida;0,3915
CURVA DA JUNCAO;27;16:26:31.914;82,6;-15.7785075;-47.9021606;saida;0,4068
CURVA DA JUNCAO;28;16:26:32.114;82,7;-15.7784676;-47.9021723;saida;0,4221
CURVA DA JUNCAO;29;16:26:32.310;82,9;-15.778427;-47.9021814;saida;0,4374
CURVA DA JUNCAO;30;16:26:32.514;83,1;-15.7783859;-47.9021882;saida;0,4527
CURVA DA JUNCAO;31;16:26:32.715;83,3;-15.7783444;-47.9021922;saida;0,4681
CURVA DA JUNCAO;32;16:26:32.916;83,6;-15.7783026;-47.9021942;saida;0,4835
CURVA DA JUNCAO;33;16:26:33.122;83,7;-15.7782608;-47.9021935;saida;0,4989
CURVA DA JUNCAO;34;16:26:33.516;83,2;-15.7781778;-47.9021838;saida;0,5297
CURVA DA JUNCAO;35;16:26:33.712;83,3;-15.7781369;-47.9021747;saida;0,5451
CURVA DA JUNCAO;36;16:26:33.915;83,4;-15.7780964;-47.9021631;saida;0,5606
CURVA DA JUNCAO;37;16:26:34.111;83,0;-15.778057;-47.9021486;saida;0,5760
CURVA DA JUNCAO;38;16:26:34.314;83,1;-15.7780186;-47.9021315;saida;0,5914
CURVA DA JUNCAO;39;16:26:34.518;83,0;-15.7779814;-47.9021117;saida;0,6068
CURVA DA JUNCAO;40;16:26:34.714;84,1;-15.7779451;-47.9020896;saida;0,6223
CURVA DA JUNCAO;41;16:26:34.911;84,5;-15.7779096;-47.9020656;saida;0,6379
CURVA DA JUNCAO;42;16:26:35.115;85,5;-15.7778751;-47.9020394;saida;0,6537
CURVA DA JUNCAO;43;16:26:35.520;86,7;-15.7778096;-47.9019807;saida;0,6856
CURVA DA JUNCAO;44;16:26:35.712;87,5;-15.7777791;-47.9019481;saida;0,7017
CURVA DA JUNCAO;45;16:26:35.912;88,7;-15.7777503;-47.901913;saida;0,7181
CURVA DA JUNCAO;46;16:26:36.119;89,1;-15.7777236;-47.9018759;saida;0,7345
CURVA DA JUNCAO;47;16:26:36.314;89,8;-15.7776991;-47.9018369;saida;0,7510
CURVA DA JUNCAO;48;16:26:36.510;90,6;-15.7776766;-47.9017961;saida;0,7677
CURVA DA JUNCAO;49;16:26:36.714;91,3;-15.7776566;-47.9017536;saida;0,7845
CURVA DA JUNCAO;50;16:26:36.912;92,0;-15.777642;-47.9017185;saida;0,7981
CURVA DA JUNCAO;51;16:26:37.113;93,1;-15.7776225;-47.9016644;saida;0,8186
CURVA DA JUNCAO;52;16:26:37.513;95,2;-15.7775976;-47.9015702;saida;0,8532
CURVA DA JUNCAO;53;16:26:37.710;96,1;-15.7775881;-47.9015215;saida;0,8708
CURVA DA JUNCAO;54;16:26:37.913;97,3;-15.777581;-47.9014717;saida;0,8887
CURVA DA JUNCAO;55;16:26:38.112;98,6;-15.7775761;-47.901421;saida;0,9068
CURVA DA JUNCAO;56;16:26:38.318;99,4;-15.7775733;-47.9013698;saida;0,9250
CURVA DA JUNCAO;57;16:26:38.514;100,6;-15.7775722;-47.9013178;saida;0,9434
CURVA DA JUNCAO;58;16:26:38.710;101,6;-15.7775727;-47.9012652;saida;0,9621
CURVA DA JUNCAO;59;16:26:38.920;102,9;-15.7775748;-47.9012121;saida;0,9809
CURVA DA JUNCAO;60;16:26:39.121;103,8;-15.7775785;-47.9011585;saida;1,0000
CURVA DA BRUXA;1;16:27:01.916;83,2;-15.7741911;-47.896838;entrada;0,0000
CURVA DA BRUXA;2;16:27:02.110;81,5;-15.7741503;-47.8968435;entrada;0,0304
CURVA DA BRUXA;3;16:27:02.310;80,2;-15.7741105;-47.8968503;entrada;0,0602
CURVA DA BRUXA;4;16:27:02.516;79,3;-15.7740712;-47.8968587;entrada;0,0898
CURVA DA BRUXA;5;16:27:02.714;78,8;-15.7740329;-47.8968691;entrada;0,1191
CURVA DA BRUXA;6;16:27:02.910;77,5;-15.7739958;-47.8968817;entrada;0,1479
CURVA DA BRUXA;7;16:27:03.117;77,4;-15.7739597;-47.8968966;entrada;0,1766
CURVA DA BRUXA;8;16:27:04.111;79,7;-15.7737846;-47.896995;entrada;0,3237
CURVA DA BRUXA;9;16:27:04.310;79,5;-15.7737526;-47.8970199;entrada;0,3533
CURVA DA BRUXA;10;16:27:04.517;79,4;-15.7737223;-47.8970469;entrada;0,3828
CURVA DA BRUXA;11;16:27:04.718;79,7;-15.7736942;-47.8970768;entrada;0,4125
CURVA DA BRUXA;12;16:27:04.911;80,5;-15.7736679;-47.897109;entrada;0,4425
