ts	log	tipo	motivo
2026-05-13T18:53:35.186Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=193)
2026-05-13T18:53:45.533Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=193)
2026-05-13T18:54:09.306Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=1056)
2026-05-13T19:08:03.509Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=201)
2026-05-13T19:09:07.198Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=320)
2026-05-13T19:09:12.395Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=106)
2026-05-13T19:09:20.996Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=193)
2026-05-13T19:09:33.815Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=1056)
2026-05-13T19:09:47.373Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=156)
2026-05-13T19:19:44.124Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=198)
2026-05-13T19:19:53.778Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=65)
2026-05-13T19:20:14.520Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=73)
2026-05-13T19:37:31.590Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=72)
2026-05-13T19:37:36.117Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=65)
2026-05-13T19:37:40.818Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=68)
2026-05-13T19:38:41.050Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=399)
2026-05-13T19:40:12.396Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=278)
2026-05-13T19:40:18.030Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=189)
2026-05-13T19:40:34.877Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=202)
2026-05-13T19:41:39.838Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=72)
2026-05-13T19:41:44.687Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=64)
2026-05-13T19:41:49.141Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=67)
2026-05-13T19:41:54.153Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=68)
2026-05-13T19:49:37.794Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=201)
2026-05-13T19:49:54.033Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=261)
2026-05-13T19:50:01.769Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=106)
2026-05-13T19:50:57.354Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	old_string ausente (len=1002)
