log	size	ops_found	ops_applied	ops_rejected
-Users-imac-Projetos-P1-Fast--claude-worktrees-strange-rhodes-db9740/012a0a85-72cc-4aa1-b1a9-67ee6ebfd0e4.jsonl	19387585	132	0	0
-Users-imac-Projetos-P1-Fast--claude-worktrees-strange-rhodes-db9740/8d8a14f4-260a-4d08-8145-74f04d6c6a66.jsonl	17011041	120	0	0
-Users-imac-Projetos-P1-Fast--claude-worktrees-strange-rhodes-db9740/22a41a8d-6808-475e-8674-348acad99834.jsonl	4183831	67	0	0
-Users-imac-Projetos-P1-Fast--claude-worktrees-exciting-ardinghelli-572eec/c7f3dcd0-01a6-45d0-835b-3be75be38553.jsonl	1846395	63	0	0
-Users-imac-Projetos-P1-Fast--claude-worktrees-kind-goldberg-1caba1/7a5d5229-768e-4dab-adda-875ec4cf5074.jsonl	3929264	50	0	0
-Users-imac-Projetos-P1-Fast--claude-worktrees-kind-goldberg-1caba1/b7144718-99e3-4f22-9897-991ee69885cd.jsonl	5989588	44	0	0
-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	4688230	31	4	27
-Users-imac-Projetos-P1-Fast--claude-worktrees-strange-rhodes-db9740/498246b4-588b-4002-b9f3-174aa2a046dd.jsonl	3046704	22	0	0
-Users-imac-Projetos-P1-Fast--claude-worktrees-kind-goldberg-1caba1/41a1b7b3-6e1e-4ce6-b7c6-ce4c6a7824db.jsonl	3680307	22	0	0
-Users-imac-Projetos-P1-Fast--claude-worktrees-exciting-ardinghelli-572eec/8736b516-e6bd-44e7-bfdb-6aed32f30be8.jsonl	4370018	17	0	0
-Users-imac-Projetos-P1-Fast--claude-worktrees-kind-goldberg-1caba1/e8c21baf-fb5e-4d84-b8f6-61e1813d40c8.jsonl	1791184	12	0	0
-Users-imac-Projetos-P1-Fast--claude-worktrees-strange-rhodes-db9740/a4e57165-07d7-4290-97cd-c9264bf661b7.jsonl	2343641	1	0	0
