idx	ts	log	tipo	status	detail
1	2026-05-13T18:53:35.186Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=193)
2	2026-05-13T18:53:45.533Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=193)
3	2026-05-13T18:54:09.306Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=1056)
4	2026-05-13T19:08:03.509Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=201)
5	2026-05-13T19:09:07.198Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=320)
6	2026-05-13T19:09:12.395Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=106)
7	2026-05-13T19:09:20.996Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=193)
8	2026-05-13T19:09:33.815Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=1056)
9	2026-05-13T19:09:47.373Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=156)
10	2026-05-13T19:19:44.124Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=198)
11	2026-05-13T19:19:53.778Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=65)
12	2026-05-13T19:20:14.520Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=73)
13	2026-05-13T19:20:23.357Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	applied	Edit (1 ocorr, replace_all=False)
14	2026-05-13T19:37:31.590Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=72)
15	2026-05-13T19:37:36.117Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=65)
16	2026-05-13T19:37:40.818Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=68)
17	2026-05-13T19:38:41.050Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=399)
18	2026-05-13T19:38:52.301Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	applied	Edit (1 ocorr, replace_all=False)
19	2026-05-13T19:40:01.409Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	applied	Edit (1 ocorr, replace_all=False)
20	2026-05-13T19:40:12.396Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=278)
21	2026-05-13T19:40:18.030Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=189)
