Run,Title,Date,Time,Type,Pickup,MaxPower,MaxEngPower,AvgPower,MaxTorque,MaxEngTorque,AvgTorque,Temperature,Pressure,Humidity,DynoCF,RPM/Speed,R.T.,60ftE.T.,330ftE.T.,1/8E.T.,1/8MPH,1000ftE.T.,1000ftMPH,1/4E.T.,1/4MPH,60MPHE.T.,100MPHE.T.,100KPHE.T.,160KPHE.T.,StartSpeed,EndSpeed,SpeedE.T.,MaxSpeed,Notes,
1,Run #1,05/18/26,12/05,RO,Snapshot,106.7546310425,122.7678298950,92.9589691162,103.9375000000,119.5281219482,109.9740447998,79.9882812500,26.2690428696,48.7329711914,1.1619697342,5.6193332342,0.0000000000,2.1615204811,6.7349514961,10.6892471313,66.4136886597,14.1034440994,76.2863159180,16.9681224823,83.6760101318,8.7243757248,24.2343769073,9.3569450378,23.9537811279,0.0000000000,0.0000000000,0.0000000000,81.3395004272,,

Time,Speed I,Speed II,Distance I,Distance II,RPM,CPM,AF1,Power Accel I,Power Accel,Power I,Power,Power Split I,Roll Speed I,Roll Speed II,Torque Accel I,Torque Accel,Torque I,Torque,Torque Split I,Torque Roll Accel I,Torque Roll(s) Accel,Power Roll(s) Accel,Power Roll Accel I,Torque Roll I,Torque Roll(s),Power Roll I,Power Roll(s),Gear Ratio I,Gear Ratio II,Acceleration I,Acceleration II,            ###Average Piston Speed,Estimated Distance,Estimated Time,
0.2684789002,31.7731418610,0.0000000000,10.0176954269,0.0000000000,2500.0000000000,2499.9990234375,10.3737344623,-0.7830985188,-0.7830985188,-0.7830985188,-0.7830985188,1.0000000000,444.8924560547,0.0000000000,-1.6451693773,-1.6451693773,-1.6451693773,-1.6451693773,1.0000000000,-9.2447557449,-9.2447557449,-0.7830985188,-0.7830985188,-9.2447557449,-9.2447557449,-0.7830985188,-0.7830985188,5.6193356514,0.0000000000,-0.0696872920,0.0000000000,0.0000000000,1666.6666259766,0.0000000000,0.0000000000,
0.3668252230,31.7732067108,0.0000000000,14.5882472992,0.0000000000,2500.0000000000,2500.0041503906,10.3808593750,0.7659904957,0.7659904957,0.7659904957,0.7659904957,1.0000000000,444.8933410645,0.0000000000,1.6092249155,1.6092249155,1.6092249155,1.6092249155,1.0000000000,9.0427713394,9.0427713394,0.7659904957,0.7659904957,9.0427713394,9.0427713394,0.7659904957,0.7659904957,5.6193242073,0.0000000000,0.0681647286,0.0000000000,0.0000000000,1666.6666259766,0.0000000000,0.1551838964,
0.7790326476,32.4085464478,0.0000000000,33.9142189026,0.0000000000,2550.0000000000,2549.9943847656,10.3808593750,40.2694969177,40.2694969177,40.2694969177,40.2694969177,1.0000000000,453.7894897461,0.0000000000,82.9413375854,82.9413375854,82.9413375854,82.9413375854,1.0000000000,466.0750122070,466.0750122070,40.2694969177,40.2694969177,466.0750122070,466.0750122070,40.2694969177,40.2694969177,5.6193456650,0.0000000000,3.5132899284,0.0000000000,0.0000000000,1700.0000000000,10.9659309387,0.8056197166,
0.9369650483,33.0439262390,0.0000000000,41.4956130981,0.0000000000,2600.0000000000,2599.9877929688,10.3808593750,52.5480079651,52.5480079651,52.5480079651,52.5480079651,1.0000000000,462.6861572266,0.0000000000,106.1497650146,106.1497650146,106.1497650146,106.1497650146,1.0000000000,596.4909057617,596.4909057617,52.5480079651,52.5480079651,596.4909057617,596.4909057617,52.5480079651,52.5480079651,5.6193599701,0.0000000000,4.4963693619,0.0000000000,0.0000000000,1733.3333740234,16.1338939667,1.0548264980,
1.0721648932,33.6795654297,0.0000000000,48.1144332886,0.0000000000,2650.0000000000,2650.0014648438,10.3808593750,58.1733207703,58.1733207703,58.1733207703,58.1733207703,1.0000000000,471.5864562988,0.0000000000,115.2953567505,115.2953567505,115.2953567505,115.2953567505,1.0000000000,647.8830566406,647.8830566406,58.1733207703,58.1733207703,647.8830566406,647.8830566406,58.1733207703,58.1733207703,5.6193299294,0.0000000000,4.8837652206,0.0000000000,0.0000000000,1766.6666259766,21.2209453583,1.2681627274,
1.2010502815,34.3150024414,0.0000000000,54.5450744629,0.0000000000,2700.0000000000,2699.9995117188,10.3808593750,60.3136253357,60.3136253357,60.3136253357,60.3136253357,1.0000000000,480.4839782715,0.0000000000,117.3237152100,117.3237152100,117.3237152100,117.3237152100,1.0000000000,659.2810668945,659.2810668945,60.3136253357,60.3136253357,659.2810668945,659.2810668945,60.3136253357,60.3136253357,5.6193342209,0.0000000000,4.9696841240,0.0000000000,0.0000000000,1800.0000000000,26.6222877502,1.4715353251,
1.3288842440,34.9504661560,0.0000000000,61.0424842834,0.0000000000,2750.0000000000,2749.9997558594,10.3808593750,61.4580764771,61.4580764771,61.4580764771,61.4580764771,1.0000000000,489.3818359375,0.0000000000,117.3762969971,117.3762969971,117.3762969971,117.3762969971,1.0000000000,659.5765380859,659.5765380859,61.4580764771,61.4580764771,659.5765380859,659.5765380859,61.4580764771,61.4580764771,5.6193342209,0.0000000000,4.9719114304,0.0000000000,0.0000000000,1833.3333740234,32.4800071716,1.6732486486,
1.4565118551,35.5859336853,0.0000000000,67.6482238770,0.0000000000,2800.0000000000,2800.0000000000,10.3808593750,62.7814292908,62.7814292908,62.7814292908,62.7814292908,1.0000000000,498.2797241211,0.0000000000,117.7625656128,117.7625656128,117.7625656128,117.7625656128,1.0000000000,661.7471313477,661.7471313477,62.7814292908,62.7814292908,661.7471313477,661.7471313477,62.7814292908,62.7814292908,5.6193337440,0.0000000000,4.9882731438,0.0000000000,0.0000000000,1866.6666259766,38.7963752747,1.8746366501,
1.5837179422,36.2214393616,0.0000000000,74.3505859375,0.0000000000,2850.0000000000,2850.0034179688,10.3808593750,64.1581573486,64.1581573486,64.1581573486,64.1581573486,1.0000000000,507.1781921387,0.0000000000,118.2335052490,118.2335052490,118.2335052490,118.2335052490,1.0000000000,664.3934936523,664.3934936523,64.1581573486,64.1581573486,664.3934936523,664.3934936523,64.1581573486,64.1581573486,5.6193265915,0.0000000000,5.0082216263,0.0000000000,0.0000000000,1900.0000000000,45.5331001282,2.0753593445,
1.7105456591,36.8568649292,0.0000000000,81.1511001587,0.0000000000,2900.0000000000,2900.0004882813,10.3808593750,65.4144058228,65.4144058228,65.4144058228,65.4144058228,1.0000000000,516.0755004883,0.0000000000,118.4702835083,118.4702835083,118.4702835083,118.4702835083,1.0000000000,665.7239990234,665.7239990234,65.4144058228,65.4144058228,665.7239990234,665.7239990234,65.4144058228,65.4144058228,5.6193327904,0.0000000000,5.0182509422,0.0000000000,0.0000000000,1933.3333740234,52.6683654785,2.2754848003,
